.9,28.65
691,29.59,28.65
483,29.59,28.65
524,29.59,28.65
479,29.59,28.65
467,29.59,28.65
597,29.59,28.65
523,29.59,14,29.59,28.65
691,29.59,28.65
483,29.59,28.65
524,29.59,28.65
479,29.59,28.65
467,29.59,28.65
597,29.59,28.65
523,29.59,241,29.57,28.97
469,29.57,28.97
479,29.57,28.97
380,29.57,28.97
659,29.57,28.97
827,29.55,28.97
668,29.55,28.97
647,29.55,28.97
508,29.55,28.97
699,29.55,28.97
390,29.55,28.97
693,29.55,28.97
551,29.55,28.97
514,29.55,28.97
685,29.55,28.97
344,29.55,28.97
692,29.55,28.97
503,29.55,28.97
265,29.55,28.97
875,29.55,28.97
134,29.55,28.97
266,29.55,28.97
512,29.55,28.97
610,29.55,28.97
487,29.55,28.97
189,29.55,28.97
684,29.55,28.97
504,29.55,28.97
268,29.55,28.97
646,29.55,28.95
420,29.55,28.95
720,29.55,28.95
571,29.55,28.95
593,29.55,28.95
768,29.55,28.95
544,29.55,28.95
701,29.55,28.95
293,29.55,28.95
271,29.55,28.95
235,29.55,28.95
296,29.55,28.95
601,29.55,28.95
480,29.55,28.95
484,29.55,28.95
618,29.55,28.95
559,29.55,28.95
516,29.55,28.95
574,29.55,28.95
508,29.55,28.95
432,29.55,28.95
406,29.55,28.95
454,29.55,28.95
672,29.55,28.95
409,29.55,28.95
567,29.55,28.95
599,29.55,28.95
370,29.55,28.95
534,29.55,28.95
130,29.55,28.95
506,29.55,28.95
131,29.55,28.95
609,29.55,28.95
526,29.55,28.95
325,29.55,28.95
917,29.55,28.95
340,29.57,28.95
625,29.57,28.95
433,29.57,28.95
310,29.57,28.95
293,29.57,28.95
511,29.57,28.95
405,29.57,28.95
436,29.57,28.95
323,29.57,28.95
601,29.57,28.95
374,29.57,28.95
520,29.57,28.95
358,29.57,28.95
344,29.57,28.95
393,29.57,28.95
548,29.57,28.95
779,29.57,28.95
496,29.57,28.95
661,29.57,28.95
362,29.57,28.95
700,29.57,28.95
389,29.57,28.95
892,29.57,28.95
680,29.57,28.95
740,29.57,28.99
486,29.57,28.99
471,29.57,28.99
578,29.57,28.99
132,29.57,28.99
590,29.57,28.99
619,29.57,28.99
569,29.57,28.99
486,29.57,28.99
732,29.57,28.99
466,29.57,28.99
903,29.57,28.99
499,29.57,28.99
610,29.57,28.99
397,29.57,28.99
131,29.57,28.99
439,29.57,28.99
357,29.57,28.99
306,29.57,28.99
871,29.57,28.99
893,29.57,28.99
361,29.57,28.99
496,29.57,28.99
580,29.57,28.99
888,29.57,28.99
252,29.57,28.99
748,29.57,28.99
547,29.57,28.99
455,29.57,28.99
572,29.57,28.99
381,29.57,28.99
783,29.57,28.99
131,29.57,28.99
777,29.57,28.99
338,29.57,28.99
401,29.57,28.99
164,29.57,28.99
491,29.57,28.99
431,29.57,28.99
250,29.57,28.99
615,29.57,28.99
647,29.57,28.99
407,29.57,28.99
453,29.57,28.99
629,29.57,28.99
320,29.57,28.99
784,29.57,28.99
254,29.57,28.99
729,29.57,28.99
370,29.57,28.99
597,29.57,28.99
485,29.57,28.99
677,29.57,28.99
892,29.57,28.99
457,29.57,28.99
454,29.57,28.99
641,29.57,28.99
729,29.57,28.99
380,29.57,28.99
692,29.57,28.77
481,29.57,28.77
883,29.57,28.77
281,29.57,28.77
829,29.57,28.77
301,29.57,28.77
357,29.57,28.77
380,29.57,28.77
155,29.57,28.77
260,29.57,28.77
