,25.99
307,26.27,25.99
480,26.27,25.99
446,26.27,25.99
656,26.27,25.99
551,26.3
430,26.27,25.99
623,26.27,25.99
369,26.27,25.99
307,26.27,25.99
480,26.27,25.99
446,26.27,25.99
656,26.27,25.99
551,26.3442,26.31,25.67
332,26.31,25.67
725,26.31,25.67
495,26.31,25.67
699,26.31,25.67
126,26.31,25.67
429,26.31,25.67
419,26.31,25.67
504,26.31,25.67
615,26.31,25.67
546,26.31,25.67
571,26.31,25.67
561,26.31,25.67
798,26.31,25.67
127,26.31,25.67
727,26.31,25.97
383,26.31,25.97
369,26.31,25.97
436,26.31,25.97
610,26.31,25.97
270,26.31,25.97
747,26.31,25.97
412,26.31,25.97
326,26.31,25.97
873,26.31,25.97
318,26.31,25.97
696,26.31,25.97
366,26.31,25.97
688,26.31,25.97
405,26.31,25.97
842,26.31,25.97
869,26.31,25.97
621,26.31,25.97
430,26.31,25.97
308,26.31,25.97
614,26.31,25.97
312,26.31,25.97
505,26.31,25.97
471,26.31,25.97
668,26.31,25.97
136,26.31,25.97
756,26.31,25.97
506,26.31,25.97
776,26.31,25.97
221,26.31,25.97
569,26.31,25.97
433,26.31,25.97
128,26.31,25.97
503,26.31,25.97
304,26.31,25.97
506,26.31,25.97
164,26.31,25.97
790,26.31,25.97
268,26.31,25.97
598,26.31,25.97
280,26.31,25.97
631,26.31,25.97
467,26.31,25.97
306,26.31,25.97
359,26.31,25.97
263,26.31,25.97
276,26.31,25.97
364,26.31,25.97
543,26.31,25.97
355,26.31,25.97
610,26.31,25.97
242,26.31,25.97
553,26.31,25.97
129,26.31,25.97
825,26.31,25.97
450,26.31,25.97
763,26.31,25.97
406,26.31,25.97
427,26.31,25.97
774,26.31,25.97
287,26.31,26.05
669,26.31,26.05
327,26.31,26.05
674,26.31,26.05
319,26.31,26.05
630,26.31,26.05
460,26.31,26.05
553,26.31,26.05
620,26.31,26.05
638,26.31,26.05
387,26.31,26.05
836,26.31,26.05
568,26.31,26.05
446,26.31,26.05
682,26.31,26.05
324,26.31,26.05
640,26.31,26.05
534,26.31,26.05
560,26.31,26.05
459,26.31,26.05
654,26.31,26.05
462,26.31,26.05
440,26.31,26.05
217,26.31,26.05
540,26.31,26.05
577,26.31,26.05
357,26.31,26.05
451,26.31,26.05
435,26.31,26.05
627,26.31,26.05
449,26.31,26.05
699,26.31,26.05
423,26.31,26.05
744,26.31,26.05
368,26.31,26.05
630,26.31,26.05
266,26.29,26.05
596,26.29,26.05
562,26.29,26.05
696,26.29,26.05
527,26.29,26.05
438,26.29,26.05
872,26.29,26.05
127,26.29,26.05
759,26.29,26.05
517,26.29,26.05
744,26.29,26.05
548,26.29,26.05
332,26.29,26.05
509,26.29,26.05
