,º§Æ®Ã³Áü,
[2023/06/01] 16:04:36,152.000000,
[2023/06/01] 16:04:37,173.000000,
[2023/06/01] 16:04:38,167.000000,
[2023/06/01] 16:04:39,141.000000,
[2023/06/01] 16:04:40,148.000000,
[2023/06/01] 16:04:41,169.000000,
[2023/06/01] 16:04:42,154.000000,
[2023/06/01] 16:04:43,171.000000,
[2023/06/01] 16:04:44,152.000000,
[2023/06/01] 16:04:45,154.000000,
[2023/06/01] 16:04:46,164.000000,
[2023/06/01] 16:04:47,160.000000,
[2023/06/01] 16:04:48,153.000000,
[2023/06/01] 16:04:49,152.000000,
[2023/06/01] 16:04:50,170.000000,
[2023/06/01] 16:04:51,179.000000,
[2023/06/01] 16:04:52,155.000000,
[2023/06/01] 16:04:53,153.000000,
[2023/06/01] 16:04:54,152.000000,
[2023/06/01] 16:04:55,163.000000,
[2023/06/01] 16:04:56,187.000000,
[2023/06/01] 16:04:57,146.000000,
[2023/06/01] 16:04:58,160.000000,
[2023/06/01] 16:04:59,168.000000,
[2023/06/01] 16:05:00,172.000000,
[2023/06/01] 16:05:01,170.000000,
[2023/06/01] 16:05:02,147.000000,
[2023/06/01] 16:05:03,152.000000,
[2023/06/01] 16:05:04,158.000000,
[2023/06/01] 16:05:05,184.000000,
[2023/06/01] 16:05:06,155.000000,
[2023/06/01] 16:05:07,757.000000,
[2023/06/01] 16:05:08,171.000000,
[2023/06/01] 16:05:09,147.000000,
[2023/06/01] 16:05:10,157.000000,
[2023/06/01] 16:05:11,167.000000,
[2023/06/01] 16:05:12,184.000000,
[2023/06/01] 16:05:13,149.000000,
[2023/06/01] 16:05:14,146.000000,
[2023/06/01] 16:05:15,149.000000,
[2023/06/01] 16:05:16,168.000000,
[2023/06/01] 16:05:17,180.000000,
[2023/06/01] 16:05:18,150.000000,
[2023/06/01] 16:05:19,153.000000,
[2023/06/01] 16:05:20,156.000000,
[2023/06/01] 16:05:21,171.000000,
[2023/06/01] 16:05:22,155.000000,
[2023/06/01] 16:05:23,146.000000,
[2023/06/01] 16:05:24,156.000000,
[2023/06/01] 16:05:25,173.000000,
[2023/06/01] 16:05:26,158.000000,
[2023/06/01] 16:05:27,177.000000,
[2023/06/01] 16:05:28,148.000000,
[2023/06/01] 16:05:29,158.000000,
[2023/06/01] 16:05:30,175.000000,
[2023/06/01] 16:05:31,179.000000,
[2023/06/01] 16:05:32,144.000000,
[2023/06/01] 16:05:33,154.000000,
[2023/06/01] 16:05:34,165.000000,
[2023/06/01] 16:05:35,148.000000,
[2023/06/01] 16:05:36,151.000000,
[2023/06/01] 16:05:37,161.000000,
[2023/06/01] 16:05:38,163.000000,
[2023/06/01] 16:05:39,185.000000,
[2023/06/01] 16:05:40,150.000000,
[2023/06/01] 16:05:41,745.000000,
[2023/06/01] 16:05:42,166.000000,
