,º§Æ®Ã³Áü,
[2023/06/01] 01:49:17,108.000000,
[2023/06/01] 01:49:18,107.000000,
[2023/06/01] 01:49:19,113.000000,
[2023/06/01] 01:49:20,108.000000,
[2023/06/01] 01:49:21,104.000000,
[2023/06/01] 01:49:22,112.000000,
[2023/06/01] 01:49:23,107.000000,
[2023/06/01] 01:49:24,108.000000,
[2023/06/01] 01:49:25,113.000000,
[2023/06/01] 01:49:26,109.000000,
[2023/06/01] 01:49:27,118.000000,
[2023/06/01] 01:49:28,106.000000,
[2023/06/01] 01:49:29,111.000000,
[2023/06/01] 01:49:30,111.000000,
[2023/06/01] 01:49:31,104.000000,
[2023/06/01] 01:49:32,116.000000,
[2023/06/01] 01:49:33,112.000000,
[2023/06/01] 01:49:34,109.000000,
[2023/06/01] 01:49:35,104.000000,
[2023/06/01] 01:49:36,104.000000,
[2023/06/01] 01:49:37,134.000000,
[2023/06/01] 01:49:38,103.000000,
[2023/06/01] 01:49:39,104.000000,
[2023/06/01] 01:49:40,122.000000,
[2023/06/01] 01:49:41,124.000000,
[2023/06/01] 01:49:42,106.000000,
[2023/06/01] 01:49:43,128.000000,
[2023/06/01] 01:49:44,111.000000,
[2023/06/01] 01:49:45,102.000000,
[2023/06/01] 01:49:46,110.000000,
[2023/06/01] 01:49:47,124.000000,
[2023/06/01] 01:49:48,110.000000,
[2023/06/01] 01:49:49,140.000000,
[2023/06/01] 01:49:50,118.000000,
[2023/06/01] 01:49:51,113.000000,
[2023/06/01] 01:49:52,119.000000,
[2023/06/01] 01:49:53,116.000000,
[2023/06/01] 01:49:54,110.000000,
[2023/06/01] 01:49:55,127.000000,
[2023/06/01] 01:49:56,108.000000,
[2023/06/01] 01:49:57,113.000000,
[2023/06/01] 01:49:58,122.000000,
[2023/06/01] 01:49:59,110.000000,
[2023/06/01] 01:50:00,103.000000,
[2023/06/01] 01:50:01,111.000000,
[2023/06/01] 01:50:02,107.000000,
[2023/06/01] 01:50:03,121.000000,
[2023/06/01] 01:50:04,110.000000,
[2023/06/01] 01:50:05,135.000000,
[2023/06/01] 01:50:06,133.000000,
[2023/06/01] 01:50:07,108.000000,
[2023/06/01] 01:50:08,120.000000,
[2023/06/01] 01:50:09,110.000000,
[2023/06/01] 01:50:10,100.000000,
[2023/06/01] 01:50:11,116.000000,
[2023/06/01] 01:50:12,109.000000,
[2023/06/01] 01:50:13,100.000000,
[2023/06/01] 01:50:14,102.000000,
[2023/06/01] 01:50:15,113.000000,
[2023/06/01] 01:50:16,100.000000,
[2023/06/01] 01:50:17,112.000000,
[2023/06/01] 01:50:18,112.000000,
[2023/06/01] 01:50:19,103.000000,
[2023/06/01] 01:50:20,116.000000,
[2023/06/01] 01:50:21,110.000000,
[2023/06/01] 01:50:22,108.000000,
[2023/06/01] 01:50:23,121.000000,
[2023/06/01] 01:50:24,114.000000,
[2023/06/01] 01:50:25,106.000000,
[2023/06/01] 01:50:26,113.000000,
[2023/06/01] 01:50:27,107.000000,
[2023/06/01] 01:50:28,102.000000,
[2023/06/01] 01:50:29,109.000000,
[2023/06/01] 01:50:30,105.000000,
[2023/06/01] 01:50:31,96.000000,
[2023/06/01] 01:50:32,105.000000,
[2023/06/01] 01:50:33,110.000000,
[2023/06/01] 01:50:34,97.000000,
[2023/06/01] 01:50:35,116.000000,
[2023/06/01] 01:50:36,108.000000,
[2023/06/01] 01:50:37,110.000000,
[2023/06/01] 01:50:38,109.000000,
[2023/06/01] 01:50:39,101.000000,
[2023/06/01] 01:50:40,102.000000,
[2023/06/01] 01:50:41,118.000000,
[2023/06/01] 01:50:42,108.000000,
[2023/06/01] 01:50:43,118.000000,
[2023/06/01] 01:50:44,112.000000,
[2023/06/01] 01:50:45,105.000000,
[2023/06/01] 01:50:46,99.000000,
[2023/06/01] 01:50:47,104.000000,
[2023/06/01] 01:50:48,106.000000,
[2023/06/01] 01:50:49,117.000000,
[2023/06/01] 01:50:50,117.000000,
[2023/06/01] 01:50:51,123.000000,
[2023/06/01] 01:50:52,113.000000,
[2023/06/01] 01:50:53,113.000000,
[2023/06/01] 01:50:54,120.000000,
[2023/06/01] 01:50:55,102.000000,
[2023/06/01] 01:50:56,103.000000,
[2023/06/01] 01:50:57,98.000000,
[2023/06/01] 01:50:58,100.000000,
[2023/06/01] 01:50:59,118.000000,
[2023/06/01] 01:51:00,102.000000,
[2023/06/01] 01:51:01,127.000000,
[2023/06/01] 01:51:02,111.000000,
[2023/06/01] 01:51:03,110.000000,
[2023/06/01] 01:51:04,119.000000,
[2023/06/01] 01:51:05,106.000000,
[2023/06/01] 01:51:06,102.000000,
[2023/06/01] 01:51:07,133.000000,
[2023/06/01] 01:51:08,110.000000,
[2023/06/01] 01:51:09,113.000000,
[2023/06/01] 01:51:10,113.000000,
[2023/06/01] 01:51:11,101.000000,
[2023/06/01] 01:51:12,121.000000,
[2023/06/01] 01:51:13,109.000000,
[2023/06/01] 01:51:14,104.000000,
[2023/06/01] 01:51:15,113.000000,
[2023/06/01] 01:51:16,105.000000,
[2023/06/01] 01:51:17,114.000000,
[2023/06/01] 01:51:18,112.000000,
[2023/06/01] 01:51:19,107.000000,
[2023/06/01] 01:51:20,127.000000,
[2023/06/01] 01:51:21,111.000000,
[2023/06/01] 01:51:22,127.000000,
[2023/06/01] 01:51:23,104.000000,
[2023/06/01] 01:51:24,107.000000,
[2023/06/01] 01:51:25,119.000000,
[2023/06/01] 01:51:26,99.000000,
[2023/06/01] 01:51:27,99.000000,
[2023/06/01] 01:51:28,108.000000,
[2023/06/01] 01:51:29,107.000000,
[2023/06/01] 01:51:30,100.000000,
[2023/06/01] 01:51:31,129.000000,
[2023/06/01] 01:51:32,113.000000,
[2023/06/01] 01:51:33,114.000000,
[2023/06/01] 01:51:34,129.000000,
[2023/06/01] 01:51:35,114.000000,
[2023/06/01] 01:51:36,128.000000,
[2023/06/01] 01:51:37,122.000000,
[2023/06/01] 01:51:38,113.000000,
[2023/06/01] 01:51:39,124.000000,
[2023/06/01] 01:51:40,121.000000,
[2023/06/01] 01:51:41,110.000000,
[2023/06/01] 01:51:42,132.000000,
[2023/06/01] 01:51:43,111.000000,
[2023/06/01] 01:51:44,110.000000,
[2023/06/01] 01:51:45,120.000000,
[2023/06/01] 01:51:46,124.000000,
[2023/06/01] 01:51:47,106.000000,
[2023/06/01] 01:51:48,114.000000,
[2023/06/01] 01:51:49,116.000000,
[2023/06/01] 01:51:50,111.000000,
[2023/06/01] 01:51:51,129.000000,
[2023/06/01] 01:51:52,104.000000,
[2023/06/01] 01:51:53,102.000000,
[2023/06/01] 01:51:54,125.000000,
[2023/06/01] 01:51:55,107.000000,
[2023/06/01] 01:51:56,104.000000,
[2023/06/01] 01:51:57,104.000000,
[2023/06/01] 01:51:58,102.000000,
[2023/06/01] 01:51:59,103.000000,
[2023/06/01] 01:52:00,101.000000,
[2023/06/01] 01:52:01,111.000000,
[2023/06/01] 01:52:02,109.000000,
[2023/06/01] 01:52:03,105.000000,
[2023/06/01] 01:52:04,106.000000,
[2023/06/01] 01:52:05,109.000000,
[2023/06/01] 01:52:06,99.000000,
[2023/06/01] 01:52:07,120.000000,
[2023/06/01] 01:52:08,106.000000,
[2023/06/01] 01:52:09,98.000000,
[2023/06/01] 01:52:10,98.000000,
[2023/06/01] 01:52:11,120.000000,
[2023/06/01] 01:52:12,108.000000,
[2023/06/01] 01:52:13,106.000000,
[2023/06/01] 01:52:14,118.000000,
[2023/06/01] 01:52:15,109.000000,
[2023/06/01] 01:52:16,108.000000,
[2023/06/01] 01:52:17,111.000000,
[2023/06/01] 01:52:18,102.000000,
[2023/06/01] 01:52:19,111.000000,
[2023/06/01] 01:52:20,107.000000,
[2023/06/01] 01:52:21,107.000000,
[2023/06/01] 01:52:22,104.000000,
[2023/06/01] 01:52:23,110.000000,
[2023/06/01] 01:52:24,108.000000,
[2023/06/01] 01:52:25,103.000000,
[2023/06/01] 01:52:26,132.000000,
[2023/06/01] 01:52:27,112.000000,
[2023/06/01] 01:52:28,141.000000,
[2023/06/01] 01:52:29,104.000000,
[2023/06/01] 01:52:30,109.000000,
[2023/06/01] 01:52:31,120.000000,
[2023/06/01] 01:52:32,107.000000,
[2023/06/01] 01:52:33,110.000000,
[2023/06/01] 01:52:34,103.000000,
[2023/06/01] 01:52:35,117.000000,
[2023/06/01] 01:52:36,126.000000,
[2023/06/01] 01:52:37,107.000000,
