,º§Æ®Ã³Áü,
[2023/05/31] 20:54:14,110.000000,
[2023/05/31] 20:54:15,130.000000,
[2023/05/31] 20:54:16,104.000000,
[2023/05/31] 20:54:17,107.000000,
[2023/05/31] 20:54:18,115.000000,
[2023/05/31] 20:54:19,110.000000,
[2023/05/31] 20:54:20,111.000000,
[2023/05/31] 20:54:21,117.000000,
[2023/05/31] 20:54:22,111.000000,
[2023/05/31] 20:54:23,111.000000,
[2023/05/31] 20:54:24,100.000000,
[2023/05/31] 20:54:25,116.000000,
[2023/05/31] 20:54:26,107.000000,
[2023/05/31] 20:54:27,108.000000,
[2023/05/31] 20:54:28,109.000000,
[2023/05/31] 20:54:29,101.000000,
[2023/05/31] 20:54:30,119.000000,
[2023/05/31] 20:54:31,131.000000,
[2023/05/31] 20:54:32,113.000000,
[2023/05/31] 20:54:33,122.000000,
[2023/05/31] 20:54:34,118.000000,
[2023/05/31] 20:54:35,112.000000,
[2023/05/31] 20:54:36,266.000000,
[2023/05/31] 20:54:37,115.000000,
[2023/05/31] 20:54:38,108.000000,
[2023/05/31] 20:54:39,99.000000,
[2023/05/31] 20:54:40,100.000000,
[2023/05/31] 20:54:41,116.000000,
[2023/05/31] 20:54:42,117.000000,
[2023/05/31] 20:54:43,114.000000,
[2023/05/31] 20:54:44,112.000000,
[2023/05/31] 20:54:45,104.000000,
[2023/05/31] 20:54:46,127.000000,
[2023/05/31] 20:54:47,109.000000,
[2023/05/31] 20:54:48,103.000000,
[2023/05/31] 20:54:49,128.000000,
[2023/05/31] 20:54:50,113.000000,
[2023/05/31] 20:54:51,106.000000,
[2023/05/31] 20:54:52,242.000000,
[2023/05/31] 20:54:53,109.000000,
[2023/05/31] 20:54:54,106.000000,
[2023/05/31] 20:54:55,112.000000,
[2023/05/31] 20:54:56,118.000000,
[2023/05/31] 20:54:57,112.000000,
[2023/05/31] 20:54:58,114.000000,
[2023/05/31] 20:54:59,104.000000,
[2023/05/31] 20:55:00,114.000000,
[2023/05/31] 20:55:01,111.000000,
[2023/05/31] 20:55:02,102.000000,
[2023/05/31] 20:55:03,107.000000,
[2023/05/31] 20:55:04,942.000000,
[2023/05/31] 20:55:05,102.000000,
[2023/05/31] 20:55:06,111.000000,
[2023/05/31] 20:55:07,108.000000,
[2023/05/31] 20:55:08,99.000000,
[2023/05/31] 20:55:09,107.000000,
[2023/05/31] 20:55:10,113.000000,
