,Time,External Sound,Ambient Temp.,Target Temp.
6128,2023-05-31 23:33:15,660,27.85,27.59
6129,2023-05-31 23:33:15,592,27.85,27.59
6130,2023-05-31 23:33:15,418,27.85,27.59
6131,2023-05-31 23:33:15,472,27.85,27.59
6132,2023-05-31 23:33:15,378,27.85,27.59
6133,2023-05-31 23:33:15,585,27.85,27.59
6134,2023-05-31 23:33:15,552,27.85,27.59
6135,2023-05-31 23:33:15,535,27.85,27.59
6136,2023-05-31 23:33:15,625,27.85,27.59
6137,2023-05-31 23:33:15,322,27.85,27.59
6138,2023-05-31 23:33:15,537,27.85,27.59
6139,2023-05-31 23:33:15,532,27.85,27.59
6140,2023-05-31 23:33:15,382,27.85,27.59
6141,2023-05-31 23:33:15,612,27.85,27.59
6142,2023-05-31 23:33:15,648,27.85,27.59
6143,2023-05-31 23:33:15,593,27.85,27.59
6144,2023-05-31 23:33:15,391,27.85,27.59
6145,2023-05-31 23:33:15,533,27.85,27.59
6146,2023-05-31 23:33:15,474,27.85,27.59
6147,2023-05-31 23:33:15,531,27.85,27.59
6148,2023-05-31 23:33:15,613,27.85,27.59
6149,2023-05-31 23:33:15,508,27.85,27.59
6150,2023-05-31 23:33:15,577,27.85,27.59
6151,2023-05-31 23:33:15,360,27.85,27.59
6152,2023-05-31 23:33:15,456,27.85,27.59
6153,2023-05-31 23:33:15,567,27.87,27.59
6154,2023-05-31 23:33:15,243,27.87,27.59
6155,2023-05-31 23:33:15,636,27.87,27.59
6156,2023-05-31 23:33:15,512,27.87,27.59
6157,2023-05-31 23:33:15,557,27.87,27.59
6158,2023-05-31 23:33:15,580,27.87,27.59
6159,2023-05-31 23:33:15,266,27.87,27.59
6160,2023-05-31 23:33:15,547,27.87,27.59
6161,2023-05-31 23:33:15,406,27.87,27.59
6162,2023-05-31 23:33:15,594,27.87,27.59
6163,2023-05-31 23:33:15,729,27.87,27.59
6164,2023-05-31 23:33:15,519,27.87,27.59
6165,2023-05-31 23:33:15,379,27.87,27.59
6166,2023-05-31 23:33:15,421,27.87,27.59
6167,2023-05-31 23:33:15,568,27.87,27.59
6168,2023-05-31 23:33:15,384,27.87,27.59
6169,2023-05-31 23:33:15,621,27.87,27.59
6170,2023-05-31 23:33:15,607,27.87,27.59
6171,2023-05-31 23:33:15,343,27.87,27.59
6172,2023-05-31 23:33:15,617,27.87,27.59
6173,2023-05-31 23:33:15,269,27.87,27.59
6174,2023-05-31 23:33:15,550,27.87,27.59
6175,2023-05-31 23:33:15,534,27.87,27.59
6176,2023-05-31 23:33:15,496,27.87,27.59
6177,2023-05-31 23:33:15,704,27.87,27.41
6178,2023-05-31 23:33:15,429,27.87,27.41
6179,2023-05-31 23:33:15,590,27.87,27.41
6180,2023-05-31 23:33:15,395,27.87,27.41
6181,2023-05-31 23:33:15,466,27.87,27.41
6182,2023-05-31 23:33:15,602,27.87,27.41
6183,2023-05-31 23:33:15,444,27.87,27.41
